Choice,x1a,x2a,x3a,x4a,p1a,p2a,p3a,p4a,x1b,x2b,x3b,x4b,p1b,p2b,p3b,p4b,MaxMinRP,MinMaxRP,XatMaxPRP,EVa ,EVb ,SQ,,,MaxMin,,,MinMax,,,XatMaxP,,,Exp,,,KR,,,,,,
56,220,338,,,0.45,0.55,,,181,260,377,416,0.4,0.05,0.5,0.05,220,338,338,284.9,294.7,2,64.9,59.1,2,-106.2,-110,2,-106.2,-110,1,-29.205,-47.215,1,255.695,244.93,1,0,0,0,1,1,1
57,238,329,467,,0.25,0.7,0.05,,192,375,467,,0.15,0.8,0.05,,238,467,375,313.15,352.15,2,75.15,107.25,2,-307.7,-229.7,2,-128.3,-50.3,2,-18.7875,-24.0225,2,289.5325,324.4475,2,0,0,0,0,0,0
58,301,368,436,,0.7,0.05,0.25,,233,267,436,,0.4,0.1,0.5,,301,436,301,338.1,337.9,1,37.1,6.3,1,-195.8,-196.2,1,37.1,6.3,1,-25.97,-49.05,1,311.28,287.49,1,0,0,0,0,0,0
59,259,,,,1,,,,172,345,,,0.45,0.55,,,259,259,259,259,267.15,2,0,-31,1,0,-31,1,0,-31,1,0,-42.8175,1,259,224.3325,1,1,1,0,1,1,0
60,362,,,,1,,,,265,313,458,,0.45,0.05,0.5,,362,362,362,362,363.9,2,0,-44.2,1,0,-44.2,1,0,-44.2,1,0,-47.05,1,362,315.77,1,1,1,0,1,1,0
61,213,418,,,0.3,0.7,,,213,350,487,,0.05,0.85,0.1,,213,418,350,356.5,356.85,2,143.5,143.85,2,-123,-129.2,1,-34.6,0,2,-43.05,-13.015,2,313.45,338.0125,2,0,1,1,0,0,0
62,223,347,472,,0.4,0.1,0.5,,161,285,410,534,0.25,0.4,0.1,0.25,223,472,472,359.9,328.75,1,136.9,90.25,1,-224.2,-302,1,-224.2,-302,1,-56.05,-59.4375,1,298.89,253.8125,1,0,0,0,0,0,0
63,306,526,,,0.6,0.4,,,159,233,526,,0.25,0.05,0.7,,306,526,526,394,419.6,2,88,73.2,2,-264,-212.8,2,-264,-212.8,2,-52.8,-74.48,2,341.2,344.195,2,0,0,0,0,0,0
64,251,358,,,0.7,0.3,,,143,304,412,465,0.05,0.85,0.05,0.05,251,358,304,283.1,309.4,2,32.1,53,2,-149.8,-105.25,2,-58,-2.65,2,-22.47,-12.91,2,260.63,289.515,2,0,0,0,0,0,0
65,95,443,,,0.3,0.7,,,95,327,559,,0.1,0.8,0.1,,95,443,327,338.6,327,1,243.6,232,1,-208.8,-243.6,1,-58,-23.2,2,-73.08,-23.2,2,265.52,285.24,2,0,0,0,1,1,1
66,223,416,,,0.45,0.55,,,159,287,544,,0.05,0.7,0.25,,223,416,287,329.15,344.85,2,106.15,118.65,2,-173.7,-174.3,2,13.35,51.45,2,-47.7675,-49.7875,2,281.3825,290.5825,2,0,0,0,0,0,0
67,209,407,,,0.75,0.25,,,143,407,,,0.5,0.5,,,209,407,209,258.5,275,2,49.5,33,2,-297,-264,2,49.5,33,1,-37.125,-66,1,221.375,209,1,0,0,0,1,1,1
68,138,245,,,0.55,0.45,,,30,84,191,352,0.05,0.05,0.85,0.05,138,245,191,186.15,185.65,1,48.15,39.55,1,-117.7,-124.05,1,-34,-18.75,2,-26.4825,-12.865,2,159.6675,165.8075,2,0,0,0,1,1,1
69,111,207,223,,0.5,0.4,0.1,,80,95,207,,0.1,0.4,0.5,,111,207,111,160.6,149.5,1,49.6,29,1,-94.4,-115,1,49.6,29,1,-24.8,-28.75,1,135.16,120.15,1,0,0,0,0,0,0
70,111,175,207,,0.1,0.4,0.5,,80,159,191,,0.25,0.25,0.5,,111,191,207,184.6,155.25,1,73.6,36.5,1,-20.8,-71.5,1,-44.8,-103.5,1,-11.2,-18.8125,1,170.84,132.4375,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185714286,0.157142857,0.114285714,0.342857143,0.371428571,0.214285714
